id,kata_a,kata_b,jenis_oposisi,bidang,tingkat_keyakinan,penjelasan,penggunaan_a,penggunaan_b,catatan
276,bayi,lansia,gradabel/kontekstual,umum,menengah,Pasangan 'bayi' dan 'lansia' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bayi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lansia' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
277,tumbuh,layu,gradabel/kontekstual,umum,menengah,Pasangan 'tumbuh' dan 'layu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tumbuh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'layu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
278,segar,busuk,gradabel/kontekstual,umum,menengah,Pasangan 'segar' dan 'busuk' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'segar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'busuk' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
279,pedas,hambar,gradabel/kontekstual,umum,menengah,Pasangan 'pedas' dan 'hambar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pedas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'hambar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
280,enak,hambar,gradabel/kontekstual,umum,menengah,Pasangan 'enak' dan 'hambar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'enak' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'hambar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
281,istirahat,kerja,gradabel/kontekstual,umum,menengah,Pasangan 'istirahat' dan 'kerja' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'istirahat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kerja' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
282,giat,malas,gradabel/kontekstual,umum,menengah,Pasangan 'giat' dan 'malas' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'giat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'malas' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
283,tenang,panik,gradabel/kontekstual,umum,menengah,Pasangan 'tenang' dan 'panik' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tenang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'panik' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
284,lancar,macet,gradabel/kontekstual,umum,menengah,Pasangan 'lancar' dan 'macet' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lancar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'macet' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
285,gesit,lamban,gradabel/kontekstual,umum,menengah,Pasangan 'gesit' dan 'lamban' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gesit' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lamban' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
286,bagus,jelek,gradabel/kontekstual,umum,menengah,Pasangan 'bagus' dan 'jelek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bagus' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jelek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
287,tepat,keliru,gradabel/kontekstual,umum,menengah,Pasangan 'tepat' dan 'keliru' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tepat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'keliru' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
288,cukup,berlebih,gradabel/kontekstual,umum,menengah,Pasangan 'cukup' dan 'berlebih' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'cukup' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'berlebih' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
289,mulai,berhenti,gradabel/kontekstual,umum,menengah,Pasangan 'mulai' dan 'berhenti' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mulai' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'berhenti' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
290,pasang,lepas,gradabel/kontekstual,umum,menengah,Pasangan 'pasang' dan 'lepas' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pasang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lepas' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
291,lembab,kering,gradabel/kontekstual,umum,menengah,Pasangan 'lembab' dan 'kering' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lembab' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kering' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
292,empuk,liat,gradabel/kontekstual,umum,menengah,Pasangan 'empuk' dan 'liat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'empuk' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'liat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
293,kokoh,goyah,gradabel/kontekstual,umum,menengah,Pasangan 'kokoh' dan 'goyah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kokoh' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'goyah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
294,raksasa,mungil,gradabel/kontekstual,umum,menengah,Pasangan 'raksasa' dan 'mungil' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'raksasa' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'mungil' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
295,mini,jumbo,gradabel/kontekstual,umum,menengah,Pasangan 'mini' dan 'jumbo' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mini' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jumbo' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
296,luas,terbatas,gradabel/kontekstual,umum,menengah,Pasangan 'luas' dan 'terbatas' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'luas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'terbatas' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
297,terbatas,bebas,gradabel/kontekstual,umum,menengah,Pasangan 'terbatas' dan 'bebas' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'terbatas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bebas' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
298,bebas,terikat,gradabel/kontekstual,umum,menengah,Pasangan 'bebas' dan 'terikat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bebas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'terikat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
299,terikat,lepas,gradabel/kontekstual,umum,menengah,Pasangan 'terikat' dan 'lepas' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'terikat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lepas' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
300,pasang,copot,gradabel/kontekstual,umum,menengah,Pasangan 'pasang' dan 'copot' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pasang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'copot' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
301,rekat,pisah,gradabel/kontekstual,hukum,menengah,Pasangan 'rekat' dan 'pisah' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'rekat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pisah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
302,pisah,gabung,gradabel/kontekstual,hukum,menengah,Pasangan 'pisah' dan 'gabung' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'pisah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gabung' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
303,gabung,urai,gradabel/kontekstual,umum,menengah,Pasangan 'gabung' dan 'urai' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gabung' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'urai' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
304,urai,susun,gradabel/kontekstual,umum,menengah,Pasangan 'urai' dan 'susun' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'urai' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'susun' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
305,susun,acak,gradabel/kontekstual,umum,menengah,Pasangan 'susun' dan 'acak' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'susun' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'acak' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
306,acak,rapi,gradabel/kontekstual,umum,menengah,Pasangan 'acak' dan 'rapi' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'acak' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'rapi' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
307,lebar,sempit,gradabel/kontekstual,umum,menengah,Pasangan 'lebar' dan 'sempit' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lebar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sempit' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
308,kurang,lebih,gradabel/kontekstual,umum,menengah,Pasangan 'kurang' dan 'lebih' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kurang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lebih' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
309,awal,akhir,direksional/reversif,umum,tinggi,Pasangan 'awal' dan 'akhir' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'awal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'akhir' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
310,dulu,nanti,gradabel/kontekstual,umum,menengah,Pasangan 'dulu' dan 'nanti' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'dulu' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'nanti' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
311,kemarin,besok,gradabel/kontekstual,umum,menengah,Pasangan 'kemarin' dan 'besok' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kemarin' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'besok' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
312,pagi,malam,gradabel/kontekstual,umum,menengah,Pasangan 'pagi' dan 'malam' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pagi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'malam' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
313,siang,sore,gradabel/kontekstual,umum,menengah,Pasangan 'siang' dan 'sore' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'siang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sore' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
314,ganjil,genap,komplementer,umum,tinggi,Pasangan 'ganjil' dan 'genap' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'ganjil' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'genap' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
315,tunggal,jamak,gradabel/kontekstual,umum,menengah,Pasangan 'tunggal' dan 'jamak' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tunggal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jamak' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
316,monolog,dialog,gradabel/kontekstual,bahasa dan penelitian,menengah,Pasangan 'monolog' dan 'dialog' memiliki hubungan pertentangan makna dalam konteks bahasa dan penelitian.,Contoh: penggunaan kata 'monolog' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dialog' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
317,prolog,epilog,direksional/reversif,umum,tinggi,Pasangan 'prolog' dan 'epilog' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'prolog' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'epilog' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
318,preambule,penutup,gradabel/kontekstual,umum,menengah,Pasangan 'preambule' dan 'penutup' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'preambule' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'penutup' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
319,abstrak,konkret,gradabel/kontekstual,bahasa dan penelitian,menengah,Pasangan 'abstrak' dan 'konkret' memiliki hubungan pertentangan makna dalam konteks bahasa dan penelitian.,Contoh: penggunaan kata 'abstrak' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'konkret' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
320,fiksi,nonfiksi,gradabel/kontekstual,bahasa dan penelitian,menengah,Pasangan 'fiksi' dan 'nonfiksi' memiliki hubungan pertentangan makna dalam konteks bahasa dan penelitian.,Contoh: penggunaan kata 'fiksi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'nonfiksi' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
321,induksi,deduksi,gradabel/kontekstual,bahasa dan penelitian,menengah,Pasangan 'induksi' dan 'deduksi' memiliki hubungan pertentangan makna dalam konteks bahasa dan penelitian.,Contoh: penggunaan kata 'induksi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'deduksi' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
322,subjektif,objektif,gradabel/kontekstual,bahasa dan penelitian,menengah,Pasangan 'subjektif' dan 'objektif' memiliki hubungan pertentangan makna dalam konteks bahasa dan penelitian.,Contoh: penggunaan kata 'subjektif' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'objektif' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
323,kualitatif,kuantitatif,gradabel/kontekstual,bahasa dan penelitian,menengah,Pasangan 'kualitatif' dan 'kuantitatif' memiliki hubungan pertentangan makna dalam konteks bahasa dan penelitian.,Contoh: penggunaan kata 'kualitatif' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kuantitatif' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
324,hitam,putih,gradabel/kontekstual,umum,menengah,Pasangan 'hitam' dan 'putih' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'hitam' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'putih' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
325,suram,cerah,gradabel/kontekstual,umum,menengah,Pasangan 'suram' dan 'cerah' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'suram' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'cerah' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
326,kusam,mengkilap,gradabel/kontekstual,umum,menengah,Pasangan 'kusam' dan 'mengkilap' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'kusam' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'mengkilap' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
327,sedap,hambar,gradabel/kontekstual,umum,menengah,Pasangan 'sedap' dan 'hambar' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'sedap' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'hambar' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
328,tampan,jelek,gradabel/kontekstual,umum,menengah,Pasangan 'tampan' dan 'jelek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tampan' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jelek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
329,gagah,lunglai,gradabel/kontekstual,umum,menengah,Pasangan 'gagah' dan 'lunglai' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gagah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'lunglai' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
330,tegap,bungkuk,gradabel/kontekstual,umum,menengah,Pasangan 'tegap' dan 'bungkuk' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tegap' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bungkuk' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
331,gemuk,ceking,gradabel/kontekstual,umum,menengah,Pasangan 'gemuk' dan 'ceking' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'gemuk' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ceking' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
332,lebat,jarang,gradabel/kontekstual,umum,menengah,Pasangan 'lebat' dan 'jarang' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lebat' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'jarang' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
333,rimbun,gundul,gradabel/kontekstual,umum,menengah,Pasangan 'rimbun' dan 'gundul' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'rimbun' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gundul' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
334,longgar,ketat,gradabel/kontekstual,umum,menengah,Pasangan 'longgar' dan 'ketat' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'longgar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ketat' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
335,lapang,sesak,gradabel/kontekstual,umum,menengah,Pasangan 'lapang' dan 'sesak' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lapang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sesak' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
336,lega,sumpek,gradabel/kontekstual,umum,menengah,Pasangan 'lega' dan 'sumpek' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'lega' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sumpek' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
337,tenang,gaduh,gradabel/kontekstual,umum,menengah,Pasangan 'tenang' dan 'gaduh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tenang' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'gaduh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
338,sepi,bising,gradabel/kontekstual,umum,menengah,Pasangan 'sepi' dan 'bising' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'sepi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bising' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
339,sunyi,ramai,gradabel/kontekstual,umum,menengah,Pasangan 'sunyi' dan 'ramai' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'sunyi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ramai' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
340,hening,ribut,gradabel/kontekstual,umum,menengah,Pasangan 'hening' dan 'ribut' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'hening' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ribut' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
341,damai,ricuh,gradabel/kontekstual,umum,menengah,Pasangan 'damai' dan 'ricuh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'damai' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ricuh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
342,aman,rawan,gradabel/kontekstual,umum,menengah,Pasangan 'aman' dan 'rawan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'aman' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'rawan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
343,tentram,kacau,gradabel/kontekstual,umum,menengah,Pasangan 'tentram' dan 'kacau' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tentram' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kacau' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
344,tertib,berantakan,gradabel/kontekstual,umum,menengah,Pasangan 'tertib' dan 'berantakan' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'tertib' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'berantakan' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
345,rapi,semrawut,gradabel/kontekstual,umum,menengah,Pasangan 'rapi' dan 'semrawut' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'rapi' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'semrawut' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
346,bersih,kumuh,gradabel/kontekstual,umum,menengah,Pasangan 'bersih' dan 'kumuh' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'bersih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'kumuh' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
347,mewah,sederhana,gradabel/kontekstual,umum,menengah,Pasangan 'mewah' dan 'sederhana' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mewah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'sederhana' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
348,megah,bersahaja,gradabel/kontekstual,hukum,menengah,Pasangan 'megah' dan 'bersahaja' memiliki hubungan pertentangan makna dalam konteks hukum.,Contoh: penggunaan kata 'megah' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'bersahaja' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
349,mahal,ekonomis,gradabel/kontekstual,umum,menengah,Pasangan 'mahal' dan 'ekonomis' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'mahal' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'ekonomis' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
350,canggih,primitif,gradabel/kontekstual,umum,menengah,Pasangan 'canggih' dan 'primitif' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'canggih' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'primitif' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
351,maju,tertinggal,direksional/reversif,umum,tinggi,Pasangan 'maju' dan 'tertinggal' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'maju' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'tertinggal' disesuaikan dengan konteks kalimat.,Hubungan pertentangan makna relatif langsung.
352,pintar,dungu,gradabel/kontekstual,umum,menengah,Pasangan 'pintar' dan 'dungu' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'pintar' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'dungu' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
353,cerdas,pandir,gradabel/kontekstual,umum,menengah,Pasangan 'cerdas' dan 'pandir' memiliki hubungan pertentangan makna dalam konteks umum.,Contoh: penggunaan kata 'cerdas' disesuaikan dengan konteks kalimat.,Contoh: penggunaan kata 'pandir' disesuaikan dengan konteks kalimat.,Makna berlawanan dapat bergantung pada konteks dan ranah pemakaian.
